产品名称,abbreviation,昵称,所属运营商,细分市场
QQ飞车,QQFC,飞车,腾讯公司,RAC
地下城与勇士,DXCYYS,,腾讯公司,
QQ炫舞,QQZW,炫舞,腾讯公司,
魔兽世界,MSSJ,魔兽,网易公司,MMORPG
梦幻西游/梦幻西游2,MHXY/MHXY2,梦幻,网易公司,MMORPG
天龙八部/天龙八部2,TLBB/TLBB2,,搜狐畅游,
反恐精英Online,FKJYOnline,,世纪天成,
劲舞团,JWT,劲舞,久游网,
跑跑卡丁车,PPKDC,卡丁车,世纪天成,RAC
征途,ZT,,巨人网络,
大话西游,DHXY,大话,网易公司,
问道,WD,,光宇在线,MMORPG
诛仙,ZX,,完美时空,
热血传奇,R血CQ,Legend,盛大游戏,
龙之谷,LZG,,盛大游戏,ACT
"英雄联盟(LOL,撸啊撸）","YXLM(LOL,ZAZ）","LOL(不分大小写),英雄联盟",腾讯公司,MOBA
剑灵,JL,,腾讯,MMORPG
逆战,NZ,,腾讯公司,STG
守望先锋,SWXF,,,STG
绝地求生：大逃杀,JDQS：DTS,吃鸡,PUBG,STG
暗黑破坏神3,AHPHS3,,非腾讯,MMORPG
变形金刚,BXJG,,腾讯,STG
穿越火线CF,CYHXCF,CF,腾讯,STG
传奇永恒,CQYH,,非腾讯,MMORPG
传奇永恒,CQYH,,非腾讯,MMORPG
创世战车,CSZC,,完美世界,STG
热血传奇、传奇世界等传奇系列游戏,RXCQ、CQSJDCQXLYX,,非腾讯,MMORPG
DOTA (11对战平台/VS对战平台）,DOTA (11DZPT/VSDZPT）,,非腾讯,MOBA
DOTA2,DOTA2,,非腾讯,MOBA
大话西游1、2、3 /新大话西游,DHXY1、2、3 /XDHXY,,非腾讯,MMORPG
大唐无双1、2,DTWS1、2,,非腾讯,MMORPG
地下城与勇士DNF,DXCYYSDNF,,腾讯,ACT
斗仙?,DX?,,非腾讯,ACT
斗战神,DZS,,腾讯,MMORPG
夺宝联盟,DBLM,,非腾讯,MOBA
FIFA ONLINE3,FIFA ONLINE3,,腾讯,SPT
反恐行动(MAT),FKXD(MAT),,非腾讯,STG
反恐精英：全球攻势(CSGO),FKJY：QQGS(CSGO),,非腾讯,STG
"反恐精英1,2/CSOL, CSOL2","FKJY1,2/CSOL, CSOL2",,非腾讯,STG
方舟:生存进化,FZ:SCJH,,ARK,MMORPG
风暴英雄,FBYX,,非腾讯,MOBA
怪物猎人Online,GWLROnline,,腾讯,MMORPG
H1Z1,H1Z1,,其他,STG
幻想神域,HXSY,,非腾讯,MMORPG
幻想世界,HXSJ,,腾讯,MMORPG
激战2,JZ2,,非腾讯,MMORPG
疾风之刃,JFZR,,腾讯,ACT
