产品名称,产品拼音首字母,产品昵称,运营商/平台,单机/网游,细分品类,,,,,,,
火影忍者手游,HYRZSY,,腾讯,网游,ARPG,,,,,,,
时空猎人,SKLR,,其他,网游,ARPG,,,,,,,
阿拉德之怒,ALDZN,,其他,网游,ARPG,,,,,,,
天天炫斗,TTZD,,腾讯,网游,ARPG,,,,,,,
崩坏3,BH3,,米哈游科技,网游,ARPG,,,,,,,
龙之谷,LZG,,腾讯,网游,ARPG,,,,,,,
拳皇-命运,QH-MY,拳王,腾讯,网游,ARPG,,,,,,,
部落冲突 (Clash of Clans),BLCT (Clash of Clans),COC,其他,网游,COC,,,,,,,
海岛奇兵（Boom Beach）,HDQB（Boom Beach）,,其他,网游,COC,,,,,,,
倩女幽魂,ZNYH,,网易,网游,MMO,,,,,,,
天龙八部手游,TLBBSY,,腾讯,网游,MMO,,,,,,,
永恒纪元,YHJY,,37,网游,MMO,,,,,,,
楚留香,CLX,,网易,网游,MMO,,,,,,,
传奇世界3D,CQSJ3D,Legend,腾讯,网游,MMO,,,,,,,
剑侠世界2,JXSJ2,,其他,网游,MMO,,,,,,,
烈火如歌,LHRG,,其他,网游,MMO,,,,,,,
蜀门手游,SMSY,,其他,网游,MMO,,,,,,,
天使纪元,TSJY,,其他,网游,MMO,,,,,,,
武林外传,WLWC,,完美世界,网游,MMO,,,,,,,
择天记,ZTJ,,腾讯,网游,MMO,,,,,,,
征途2,ZT2,,巨人,网游,MMO,,,,,,,
自由幻想手游,ZYHXSY,,腾讯,网游,MMO,,,,,,,
王者荣耀,WZRY,"农药, 王者农药",腾讯,网游,MOBA,,,,,,,
决战！平安京,JZ！PAJ,,网易,网游,MOBA,,,,,,,
非人学园,FRXY,,网易,网游,MOBA,,,,,,,
部落冲突:皇室战争,BLCT:HSZZ,,腾讯,网游,对战卡牌类,,,,,,,
炉石传说,LSCS,Hearthstone,其他,网游,对战卡牌类,,,,,,,
全民飞机大战,QMFJDZ,,腾讯,网游,飞行射击,,,,,,,
雷霆战机,LTZJ,,腾讯,网游,飞行射击,,,,,,,
梦幻西游手游,MHXYSY,梦幻,其他,网游,回合,,,,,,,
大话西游手游,DHXYSY,大话,网易,网游,回合,,,,,,,
问道,WD,,雷霆游戏,网游,回合,,,,,,,
QQ飞车手机版,QQFCSJB,,腾讯,网游,竞速,,,,,,,
天天飞车,TTFC,,腾讯,网游,竞速,,,,,,,
阴阳师,YYS,,网易,网游,卡牌RPG,,,,,,,
葫芦娃,HLW,,其他,网游,卡牌RPG,,,,,,,
命运-冠位指定（Fate/Grand Order）,MY-GWZD（Fate/Grand Order）,FGO,bilibili,网游,卡牌RPG,,,,,,,
碧蓝航线,BLHX,,其他,网游,卡牌RPG,,,,,,,
迷你世界,MNSJ,,游讯,网游,模拟经营,,,,,,,
我的世界,WDSJ,,网易,单机,模拟经营,,,,,,,
奇迹暖暖,QJNN,,腾讯,网游,模拟经营,,,,,,,
恋与制作人,LYZZR,,其他,网游,模拟经营,,,,,,,
旅行青蛙,LXQW,,其他,单机,模拟经营,,,,,,,
云裳羽衣,YSYY,,腾讯,网游,模拟经营,,,,,,,
汤姆猫跑酷,TMMPK,,其他,单机弱联网,跑酷躲避,,,,,,,
地铁跑酷,DTPK,,其他,单机,跑酷躲避,,,,,,,
天天酷跑,TTKP,,腾讯,网游,跑酷躲避,,,,,,,
熊出没之熊大快跑,XCMZXDKP,,其他,单机,跑酷躲避,,,,,,,
神偷奶爸：小黄人快跑,STNB：XHRKP,,其他,单机,跑酷躲避,,,,,,,
神庙逃亡,SMTW,Temple run,其他,单机,跑酷躲避,,,,,,,
欢乐麻将,HLMJ,,腾讯,网游,棋牌,,,,,,,
JJ斗地主,JJDDZ,,其他,单机,棋牌,,,,,,,
天天象棋,TTXQ,,腾讯,网游,棋牌,,,,,,,
腾讯桌球,TYZQ,,腾讯,网游,棋牌,,,,,,,
欢乐狼人杀,HLLRS,,其他,网游,棋牌,,,,,,,
欢乐斗地主,HLDDZ,,腾讯,网游,棋牌,,,,,,,
英雄杀,YXS,,腾讯,网游,棋牌,,,,,,,
饭局狼人杀,FJLRS,,腾讯,网游,棋牌,,,,,,,
三国杀,SGS,,其他,网游,棋牌,,,,,,,
中国象棋,ZGXQ,,其他,网游,棋牌,,,,,,,
荒野行动,HYXD,吃鸡,网易,网游,枪战射击,,,,,,,
穿越火线：枪战王者,CYHX：QZWZ,CFM,腾讯,网游,枪战射击,,,,,,,
终结者2：审判日,ZJZ2：SPR,吃鸡,网易,网游,枪战射击,,,,,,,
魂斗罗：归来,HDL：GL,,腾讯,网游,枪战射击,,,,,,,
光荣使命,GRSM,,巨人,网游,枪战射击,,,,,,,
全民枪战,QMQZ,,其他,网游,枪战射击,,,,,,,
绝地求生：刺激战场,JDQS：CJZC,吃鸡,腾讯,网游,枪战射击,,,,,,,
绝地求生：全军出击,JDQS：QJCJ,吃鸡,腾讯,网游,枪战射击,,,,,,,
保卫萝卜3,BWLB3,,腾讯,网游,塔防,,,,,,,
"保卫萝卜1,2","BWLB1,2",,外部,单机,塔防,,,,,,,
"植物大战僵尸1,2,全明星版本","ZWDZJS1,2,QMXBB",,其他,单机,塔防,,,,,,,
最强NBA,ZQNBA,篮球,腾讯,网游,体育,,,,,,,
FIFA足球世界杯,FIFAZQSJB,,腾讯,网游,体育,,,,,,,
实况足球,SKZQ,"实况, PES",网易,网游,体育,,,,,,,
微信小游戏（包括跳一跳，海盗来了，欢乐斗地主，损友圈等）,WXXYX（BKTYT，HDLL，HLDDZ，SYQD）,,,,微信小游戏,,,,,,,
开心消消乐,KXXXL,,其他,单机,消除,,,,,,,
天天爱消除,TTAXC,,腾讯,网游,消除,,,,,,,
宾果消消消,BGXXX,,其他,单机弱联网,消除,,,,,,,
梦幻花园,MHHY,,其他,单机弱联网,消除,,,,,,,
海滨消消乐,HBXXL,,乐元素,单机弱联网,消除,,,,,,,
消除者联盟,XCZLM,,腾讯,网游,消除,,,,,,,
第五人格,DWRG,,网易,网游,新品类,,,,,,,
苍之纪元,CZJY,,其他,网游,新品类,,,,,,,
球球大作战,QQDZZ,,Superpop,网游,休闲益智,,,,,,,
贪吃蛇大作战,TCSDZZ,,武汉微派,网游,休闲益智,,,,,,,
滚动的天空,GDDTK,,其他,网游,休闲益智,,,,,,,
欢乐球吃球,HLQCQ,,腾讯,网游,休闲益智,,,,,,,
纪念碑谷,JNBG,碑谷,其他,单机,休闲益智,,,,,,,
纪念碑谷2,JNBG2,,腾讯,单机弱联网,休闲益智,,,,,,,
快手小游戏,KSXYX,快手,其他,网游,休闲益智,,,,,,,
同桌游戏,TZYX,,其他,网游,休闲益智,,,,,,,
节奏大师,JZDS,,腾讯,网游,音乐,,,,,,,
别踩白块儿（钢琴块儿）,BCBKE（GQKE）,,其他,单机,音乐,,,,,,,
QQ炫舞,QQZW,炫舞,腾讯,网游,音乐,,,,,,,
王国纪元,WGJY,Lords,IGG,网游,战争策略,,,,,,,
乱世王者,LSWZ,,腾讯,网游,战争策略,,,,,,,
剑与家园,JYJY,,其他,网游,战争策略,,,,,,,
率土之滨,LTZB,,网易,网游,战争策略,,,,,,,
我的王朝,WDWC,,腾讯,网游,战争策略,,,,,,,
野蛮时代,YMSD,,其他,网游,战争策略,,,,,,,
真龙霸业,ZLBY,,腾讯,网游,战争策略,,,,,,,
Rise Up-守护你前行,Rise Up-SHNQX,,其他,单机弱联网,休闲益智,,,,,,,
口袋世界 离线版,KDSJ LXB,,其他,单机弱联网,ARPG,,,,,,,
微乐吉林麻将,WLJLMJ,,其他,网游,棋牌,,,,,,,
牧羊人之心,MYRZX,,其他,网游,模拟经营,,,,,,,
微乐江西棋牌,WLJXQP,,其他,网游,棋牌,,,,,,,
大连棋牌,DLQP,,其他,网游,棋牌,,,,,,,
Love Balls,Love Balls,,其他,单机弱联网,休闲益智,,,,,,,
谜题发烧友,MTFSY,,其他,单机弱联网,休闲益智,,,,,,,
闲来宁夏麻将,XLNXMJ,,其他,网游,棋牌,,,,,,,
决战卡五星,JZKWX,,其他,网游,棋牌,,,,,,,
永不言弃3：世界,YBYQ3：SJ,,其他,单机弱联网,休闲益智,,,,,,,
奥特曼英雄归来,ATMYXGL,,其他,网游,卡牌RPG,,,,,,,
爆炒江湖,BCJH,,其他,网游,模拟经营,,,,,,,
暗黑大天使,AHDTS,,其他,网游,ARPG,,,,,,,
清宫无间斗,QGWJD,,其他,网游,模拟经营,,,,,,,
雷霆战神,LTZS,,其他,网游,MMO,,,,,,,
大天使之剑H5,DTSZJH5,,其他,网游,MMO,,,,,,,
食之契约,SZQY,,其他,网游,卡牌RPG,,,,,,,
王者传奇,WZCQ,,其他,网游,MMO,,,,,,,
极品芝麻官,JPZMG,,其他,网游,战争策略,,,,,,,
猪来了,ZLL,,其他,网游,休闲益智,,,,,,,
我在大清当皇帝,WZDQDHD,,其他,网游,战争策略,,,,,,,
天天挂机,TTGJ,,其他,网游,MMO,,,,,,,
丽江棋牌·西元,LJQP·XY,,其他,网游,棋牌,,,,,,,
雀友会潮汕麻将,QYHCSMJ,,其他,网游,棋牌,,,,,,,
微乐棋牌辽宁版,WLQPLNB,,其他,网游,棋牌,,,,,,,
怀化红拐弯,HHHGW,,其他,网游,棋牌,,,,,,,
极限滑板精英,JXHBJY,,其他,单机弱联网,体育竞技,,,,,,,
乌兰察布麻将,WLCBMJ,,其他,网游,棋牌,,,,,,,
攀枝花棋牌,PZHQP,,其他,网游,棋牌,,,,,,,
幻想神域,HXSY,,其他,网游,ARPG,,,,,,,
六月斗地主,LYDDZ,,其他,网游,棋牌,,,,,,,
极光卡五星,JGKWX,,其他,网游,棋牌,,,,,,,
博雅四国军棋,BYSGJQ,,博雅,网游,棋牌,,,,,,,
丽水茶苑,LSCY,,其他,网游,棋牌,,,,,,,
富裕赢三张,FYYSZ,,其他,网游,棋牌,,,,,,,
棋乐昭通麻将-熟人移动麻将馆,QLZTMJ-SRYDMJG,,其他,网游,棋牌,,,,,,,
曲靖棋牌·西元,QJQP·XY,,其他,网游,棋牌,,,,,,,
越乡游嵊州麻将,YXYZZMJ,,其他,网游,棋牌,,,,,,,
人人恩施麻将,RRESMJ,,其他,网游,棋牌,,,,,,,
星悦云南麻将,XYYNMJ,,其他,网游,棋牌,,,,,,,
同城上饶棋牌,TCSRQP,,其他,网游,棋牌,,,,,,,
永州跑胡子,YZPHZ,,其他,网游,棋牌,,,,,,,
乐胡麻将,LHMJ,,其他,网游,棋牌,,,,,,,
丸子,WZ,,其他,网游,休闲益智,,,,,,,
博雅卡五星麻将,BYKWXMJ,,博雅,网游,棋牌,,,,,,,
兴动齐齐哈尔麻将,XDQQHEMJ,,其他,网游,棋牌,,,,,,,
霸略征战,BLZZ,,其他,网游,战争策略,,,,,,,
兜趣景德镇麻将,DQJDZMJ,,其他,网游,棋牌,,,,,,,
天天捕鱼,TTBY,,其他,网游,休闲益智,,,,,,,
口袋斗地主,KDDDZ,,其他,网游,棋牌,,,,,,,
单机斗地主2017,DJDDZ2017,,其他,单机弱联网,棋牌,,,,,,,
卧龙吟,WLY,,其他,网游,战争策略,,,,,,,
