产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
时空猎人,,SKLR,其他,网游,ARPG
阿拉德之怒,,ALDZN,其他,网游,ARPG
天天炫斗,,,腾讯,网游,ARPG
崩坏3,,,米哈游科技,网游,ARPG
龙之谷,,,腾讯,网游,ARPG
拳皇-命运,拳王,,腾讯,网游,ARPG
部落冲突 (Clash of Clans),COC,,其他,网游,COC
海岛奇兵（Boom Beach）,,,其他,网游,COC
倩女幽魂,,,网易,网游,MMO
天龙八部手游,,,腾讯,网游,MMO
永恒纪元,,,37,网游,MMO
楚留香,,,网易,网游,MMO
传奇世界3D,Legend,,腾讯,网游,MMO
剑侠世界2,,,其他,网游,MMO
烈火如歌,,,其他,网游,MMO
蜀门手游,,,其他,网游,MMO
天使纪元,,,其他,网游,MMO
武林外传,,,完美世界,网游,MMO
择天记,,,腾讯,网游,MMO
征途2,,,巨人,网游,MMO
自由幻想手游,,,腾讯,网游,MMO
王者荣耀,"农药, 王者农药",,腾讯,网游,MOBA
决战！平安京,,,网易,网游,MOBA
非人学园,,,网易,网游,MOBA
部落冲突:皇室战争,,,腾讯,网游,对战卡牌类
炉石传说,Hearthstone,,其他,网游,对战卡牌类
全民飞机大战,,,腾讯,网游,飞行射击
雷霆战机,,,腾讯,网游,飞行射击
梦幻西游手游,梦幻,,其他,网游,回合
大话西游手游,大话,,网易,网游,回合
问道,,,雷霆游戏,网游,回合
QQ飞车手机版,,,腾讯,网游,竞速
天天飞车,,,腾讯,网游,竞速
阴阳师,,,网易,网游,卡牌RPG
葫芦娃,,,其他,网游,卡牌RPG
命运-冠位指定（Fate/Grand Order）,FGO,,bilibili,网游,卡牌RPG
碧蓝航线,,,其他,网游,卡牌RPG
迷你世界,,,游讯,网游,模拟经营
我的世界,,,网易,单机,模拟经营
奇迹暖暖,,,腾讯,网游,模拟经营
恋与制作人,,,其他,网游,模拟经营
旅行青蛙,,,其他,单机,模拟经营
云裳羽衣,,,腾讯,网游,模拟经营
汤姆猫跑酷,,,其他,单机弱联网,跑酷躲避
地铁跑酷,,,其他,单机,跑酷躲避
天天酷跑,,,腾讯,网游,跑酷躲避
熊出没之熊大快跑,,,其他,单机,跑酷躲避
神偷奶爸：小黄人快跑,,,其他,单机,跑酷躲避
神庙逃亡,Temple run,,其他,单机,跑酷躲避
欢乐麻将,,,腾讯,网游,棋牌
JJ斗地主,,,其他,单机,棋牌
天天象棋,,,腾讯,网游,棋牌
腾讯桌球,,,腾讯,网游,棋牌
欢乐狼人杀,,,其他,网游,棋牌
欢乐斗地主,,,腾讯,网游,棋牌
英雄杀,,,腾讯,网游,棋牌
饭局狼人杀,,,腾讯,网游,棋牌
三国杀,,,其他,网游,棋牌
中国象棋,,,其他,网游,棋牌
荒野行动,吃鸡,,网易,网游,枪战射击
穿越火线：枪战王者,CFM,,腾讯,网游,枪战射击
终结者2：审判日,吃鸡,,网易,网游,枪战射击
魂斗罗：归来,,,腾讯,网游,枪战射击
光荣使命,,,巨人,网游,枪战射击
全民枪战,,,其他,网游,枪战射击
绝地求生：刺激战场,吃鸡,,腾讯,网游,枪战射击
绝地求生：全军出击,吃鸡,,腾讯,网游,枪战射击
保卫萝卜3,,,腾讯,网游,塔防
"保卫萝卜1,2",,,外部,单机,塔防
"植物大战僵尸1,2,全明星版本",,,其他,单机,塔防
最强NBA,篮球,,腾讯,网游,体育
FIFA足球世界杯,,,腾讯,网游,体育
实况足球,"实况, PES",,网易,网游,体育
微信小游戏（包括跳一跳，海盗来了，欢乐斗地主，损友圈等）,,,,,微信小游戏
开心消消乐,,,其他,单机,消除
天天爱消除,,,腾讯,网游,消除
宾果消消消,,,其他,单机弱联网,消除
梦幻花园,,,其他,单机弱联网,消除
海滨消消乐,,,乐元素,单机弱联网,消除
消除者联盟,,,腾讯,网游,消除
第五人格,,,网易,网游,新品类
苍之纪元,,,其他,网游,新品类
球球大作战,,,Superpop,网游,休闲益智
贪吃蛇大作战,,,武汉微派,网游,休闲益智
滚动的天空,,,其他,网游,休闲益智
欢乐球吃球,,,腾讯,网游,休闲益智
纪念碑谷,碑谷,,其他,单机,休闲益智
纪念碑谷2,,,腾讯,单机弱联网,休闲益智
快手小游戏,快手,,其他,网游,休闲益智
同桌游戏,,,其他,网游,休闲益智
节奏大师,,,腾讯,网游,音乐
别踩白块儿（钢琴块儿）,,,其他,单机,音乐
QQ炫舞,炫舞,,腾讯,网游,音乐
王国纪元,Lords,,IGG,网游,战争策略
乱世王者,,,腾讯,网游,战争策略
剑与家园,,,其他,网游,战争策略
率土之滨,,,网易,网游,战争策略
我的王朝,,,腾讯,网游,战争策略
野蛮时代,,,其他,网游,战争策略
真龙霸业,,,腾讯,网游,战争策略
Rise Up-守护你前行,,,其他,单机弱联网,休闲益智
口袋世界 离线版,,,其他,单机弱联网,ARPG
微乐吉林麻将,,,其他,网游,棋牌
牧羊人之心,,,其他,网游,模拟经营
微乐江西棋牌,,,其他,网游,棋牌
大连棋牌,,,其他,网游,棋牌
Love Balls,,,其他,单机弱联网,休闲益智
谜题发烧友,,,其他,单机弱联网,休闲益智
闲来宁夏麻将,,,其他,网游,棋牌
决战卡五星,,,其他,网游,棋牌
永不言弃3：世界,,,其他,单机弱联网,休闲益智
奥特曼英雄归来,,,其他,网游,卡牌RPG
爆炒江湖,,,其他,网游,模拟经营
暗黑大天使,,,其他,网游,ARPG
清宫无间斗,,,其他,网游,模拟经营
雷霆战神,,,其他,网游,MMO
大天使之剑H5,,,其他,网游,MMO
食之契约,,,其他,网游,卡牌RPG
王者传奇,,,其他,网游,MMO
极品芝麻官,,,其他,网游,战争策略
猪来了,,,其他,网游,休闲益智
我在大清当皇帝,,,其他,网游,战争策略
天天挂机,,,其他,网游,MMO
丽江棋牌·西元,,,其他,网游,棋牌
雀友会潮汕麻将,,,其他,网游,棋牌
微乐棋牌辽宁版,,,其他,网游,棋牌
怀化红拐弯,,,其他,网游,棋牌
极限滑板精英,,,其他,单机弱联网,体育竞技
乌兰察布麻将,,,其他,网游,棋牌
攀枝花棋牌,,,其他,网游,棋牌
幻想神域,,,其他,网游,ARPG
六月斗地主,,,其他,网游,棋牌
极光卡五星,,,其他,网游,棋牌
博雅四国军棋,,,博雅,网游,棋牌
丽水茶苑,,,其他,网游,棋牌
富裕赢三张,,,其他,网游,棋牌
棋乐昭通麻将-熟人移动麻将馆,,,其他,网游,棋牌
曲靖棋牌·西元,,,其他,网游,棋牌
越乡游嵊州麻将,,,其他,网游,棋牌
人人恩施麻将,,,其他,网游,棋牌
星悦云南麻将,,,其他,网游,棋牌
同城上饶棋牌,,,其他,网游,棋牌
永州跑胡子,,,其他,网游,棋牌
乐胡麻将,,,其他,网游,棋牌
丸子,,,其他,网游,休闲益智
博雅卡五星麻将,,,博雅,网游,棋牌
兴动齐齐哈尔麻将,,,其他,网游,棋牌
霸略征战,,,其他,网游,战争策略
兜趣景德镇麻将,,,其他,网游,棋牌
天天捕鱼,,,其他,网游,休闲益智
口袋斗地主,,,其他,网游,棋牌
单机斗地主2017,,,其他,单机弱联网,棋牌
卧龙吟,,,其他,网游,战争策略
郴州字牌,,,其他,网游,棋牌
瓜瓜·丰城棋牌,,,其他,网游,棋牌
牛总管,,,其他,网游,棋牌
皮皮湖南麻将,,,其他,网游,棋牌
儿童泡泡龙游戏,,,其他,单机弱联网,消除
多乐中国象棋,,,其他,网游,棋牌
阿拉斗牛,,,其他,网游,棋牌
胡一把呼包鄂麻将,,,其他,网游,棋牌
QQ狼人杀,,,腾讯,网游,棋牌
羽毛球大乱斗,,,其他,单机弱联网,体育竞技
榆林打锅子,,,其他,网游,棋牌
微乐捉鸡麻将,,,其他,网游,棋牌
亲友益阳棋牌,,,其他,网游,棋牌
蜘蛛纸牌,,,其他,单机弱联网,棋牌
狂暴之翼,,,其他,网游,ARPG
波克安徽麻将,,,波克,网游,棋牌
长治麻将,,,其他,网游,棋牌
打牌吧,,,其他,网游,棋牌
中原河北麻将,,,其他,网游,棋牌
拖拉机升级,,,其他,网游,棋牌
博乐填大坑,,,其他,网游,棋牌
正版字牌,,,其他,网游,棋牌
天域至尊,,,其他,网游,ARPG
途游四国军棋,,,其他,网游,棋牌
弈乐贵州麻将,,,其他,网游,棋牌
湖南快乐打筒子扑克,,,其他,网游,棋牌
龙腾内蒙麻将,,,其他,网游,棋牌
植物暴击僵尸,,,其他,单机弱联网,塔防
友间麻将,,,其他,网游,棋牌
口袋川麻,,,其他,网游,棋牌
老K跑胡子,,,其他,网游,棋牌
泸州大贰,,,其他,网游,棋牌
我是掼蛋王,,,其他,网游,棋牌
丫丫湖南麻将,,,其他,网游,棋牌
欢乐天天斗地主,,,其他,网游,棋牌
闪闪跑胡子全集,,,其他,网游,棋牌
八闽福建麻将,,,其他,网游,棋牌
闲来安徽麻将,,,其他,网游,棋牌
口袋斗牛,,,其他,网游,棋牌
霸王龙模拟器3D,,,其他,单机弱联网,模拟经营
欢乐途游斗地主,,,其他,网游,棋牌
松鼠家乡棋牌,,,其他,网游,棋牌
