job,years,education,salary,company,scale,job_url
C++工程师（QT）,5-10年,本科,25000,广联达科技股份有限公司,1000-9999人,http://jobs.zhaopin.com/224763818261481.htm
C++/QT软件开发工程师（安检事业部）,3-5年,本科,20000,北京声迅电子股份有限公司,100-499人,http://jobs.zhaopin.com/000440130253105.htm
QT研发工程师,1-3年,本科,15000,苍穹数码技术股份有限公司,1000-9999人,http://jobs.zhaopin.com/133629212253110.htm
高级QT/C++开发工程师,3-5年,本科,14000,北京多维视通技术有限公司,100-499人,http://jobs.zhaopin.com/190053411250669.htm
软件开发工程师（QT）-清河小营-wx(1399),不限,本科,12500,北京联想利泰软件有限公司,500-999人,http://jobs.zhaopin.com/CC120535348J00044209412.htm
c++软件工程师（QT方向）,1-3年,本科,17500,北京三维力控科技有限公司,100-499人,http://jobs.zhaopin.com/133775034250462.htm
高级开发工程师（QT）-五道口-wx,不限,本科,12500,北京联想利泰软件有限公司,500-999人,http://jobs.zhaopin.com/120535348252790.htm
QT开发工程师,3-5年,大专,12500,北京仁光科技有限公司,100-499人,http://jobs.zhaopin.com/269939913250740.htm
Linux Qt 软件工程师,5-10年,本科,17500,北京格瑞斯特科技有限公司,20-99人,http://jobs.zhaopin.com/CC450982416J00031933115.htm
C++/QT开发工程师(北四环中路211号 ）,1-3年,大专,15000,北京腾信软创科技股份有限公司,500-999人,http://jobs.zhaopin.com/CC196911813J00052616715.htm
QT软件工程师（医疗机器人）,1-3年,本科,12500,北京柏惠维康科技有限公司,20-99人,http://jobs.zhaopin.com/362343221250080.htm
qt软件开发工程师,不限,本科,21500,珞石(山东)智能科技有限公司北京分公司,100-499人,http://jobs.zhaopin.com/CC477308086J00028070315.htm
QT开发工程师(海淀）(职位编号：2018051001),1-3年,本科,9000,北京人和创建信息技术有限公司,100-499人,http://jobs.zhaopin.com/CC147888134J00061370413.htm
QT开发工程师(J12121),3-5年,本科,20000,北大方正集团,10000人以上,http://jobs.zhaopin.com/CC000552673J00059012810.htm
C++高级开发工程师(QT),5-10年,本科,27500,北京世纪好未来教育科技有限公司,10000人以上,http://jobs.zhaopin.com/CC602273321J00050930713.htm
qt软件编程工程师,1年以下,本科,9000,北京创想智控科技有限公司,20-99人,http://jobs.zhaopin.com/CC700366825J00066936811.htm
高级QT软件工程师,3-5年,本科,15000,北京旋极信息技术股份有限公司,1000-9999人,http://jobs.zhaopin.com/278315310252388.htm
QT开发工程师,不限,本科,12500,北京左江科技股份有限公司,100-499人,http://jobs.zhaopin.com/209830715250067.htm
QT软件工程师,3-5年,本科,20000,北京朗视仪器有限公司,100-499人,http://jobs.zhaopin.com/365364322250058.htm
QT软件开发工程师,3-5年,本科,17500,龙芯中科技术有限公司,100-499人,http://jobs.zhaopin.com/192745913251003.htm
qt开发工程师,不限,本科,12500,北京人和创建信息技术有限公司,100-499人,http://jobs.zhaopin.com/CC147888134J00062852113.htm
qt开发工程师（电力）,不限,本科,12500,北京人和创建信息技术有限公司,100-499人,http://jobs.zhaopin.com/CC147888134J00062854813.htm
【急聘】软件工程师c++（QT）[北京-海淀区],1年以下,本科,22500,艾瑞迈迪医疗科技(北京)有限公司,20-99人,http://jobs.zhaopin.com/CC454811535J00057880013.htm
中级软件工程师（QT/c++方向）,1-3年,本科,17500,北京维卓致远医疗科技发展有限责任公司,20-99人,http://jobs.zhaopin.com/379560631250011.htm
QT/C++工程师(医疗方向),1-3年,本科,17500,北京维卓致远医疗科技发展有限责任公司,20-99人,http://jobs.zhaopin.com/379560631250009.htm
高级软件工程师（QT/c++方向）,1-3年,本科,25000,北京维卓致远医疗科技发展有限责任公司,20-99人,http://jobs.zhaopin.com/379560631250012.htm
QT高级开发工程师,3-5年,本科,25000,北京精彩乐现科技有限公司,20-99人,http://jobs.zhaopin.com/219055533250224.htm
QT开发工程师(J12121),3-5年,本科,20000,北京方正手迹数字技术有限公司,100-499人,http://jobs.zhaopin.com/CZ524819330J00059334509.htm
QT开发工程师,不限,不限,17500,方正璞华软件(武汉)股份有限公司,100-499人,http://jobs.zhaopin.com/384994585250030.htm
C++/QT 软件工程师,1-3年,大专,9000,北京安信盈科科技有限公司,20-99人,http://jobs.zhaopin.com/307235017250072.htm
C++工程师（QT）,5-10年,本科,25000,广联达科技股份有限公司,1000-9999人,http://jobs.zhaopin.com/224763818261481.htm
